hcp_id,region,product,avg_sales,avg_promo,months,incremental_uplift_proxy,priority_score,priority_rank
366,South,Oncology-B,313.8808333333333,2.6666666666666665,12,18.19,5709.492358333334,1
364,West,Diabetes-A,307.6225,2.25,12,18.19,5595.653275000001,2
218,South,Oncology-B,302.73,2.0,12,18.19,5506.658700000001,3
297,North,Oncology-A,297.58,2.5,12,18.19,5412.9802,4
70,South,Oncology-B,293.93916666666667,2.25,12,18.19,5346.753441666667,5
220,West,Diabetes-A,293.20250000000004,2.6666666666666665,12,18.19,5333.353475000001,6
127,East,Immunology-A,287.5566666666667,2.0833333333333335,12,18.19,5230.655766666667,7
163,East,Immunology-A,278.4941666666667,2.75,12,18.19,5065.8088916666675,8
203,East,Immunology-A,276.6658333333333,1.5833333333333333,12,18.19,5032.551508333333,9
134,South,Oncology-B,273.3383333333333,2.4166666666666665,12,18.19,4972.024283333333,10
191,East,Immunology-A,272.2283333333333,2.3333333333333335,12,18.19,4951.833383333333,11
312,West,Diabetes-A,269.44083333333333,2.0833333333333335,12,18.19,4901.128758333333,12
239,East,Immunology-A,268.2183333333333,2.0833333333333335,12,18.19,4878.891483333333,13
32,West,Diabetes-A,268.09083333333336,2.0833333333333335,12,18.19,4876.5722583333345,14
356,West,Diabetes-A,267.69166666666666,2.75,12,18.19,4869.311416666667,15
104,West,Diabetes-A,265.5083333333333,2.9166666666666665,12,18.19,4829.596583333334,16
335,East,Immunology-A,264.32916666666665,1.9166666666666667,12,18.19,4808.147541666667,17
253,North,Oncology-A,260.3258333333333,3.0,12,18.19,4735.326908333333,18
341,North,Oncology-A,257.8833333333333,2.5,12,18.19,4690.897833333333,19
252,West,Diabetes-A,257.6933333333333,3.3333333333333335,12,18.19,4687.441733333334,20
316,West,Diabetes-A,257.2966666666667,2.4166666666666665,12,18.19,4680.226366666668,21
299,East,Immunology-A,256.68,2.1666666666666665,12,18.19,4669.0092,22
352,West,Diabetes-A,256.15500000000003,2.25,12,18.19,4659.459450000001,23
