hcp_id,region,product,train_sales,train_promo,predicted_sales,sales_percentile,response_percentile,priority_score,priority_band,test_sales
356,West,Diabetes-A,278.55444444444447,3.111111111111111,169.20274403680168,0.9825,0.9575,0.97,Prioritize,235.10333333333335
252,West,Diabetes-A,251.38666666666666,3.0,171.98919501203628,0.935,0.975,0.9550000000000001,Prioritize,276.61333333333334
50,South,Oncology-B,255.10555555555553,3.111111111111111,168.645004434557,0.945,0.955,0.95,Prioritize,240.24333333333334
104,West,Diabetes-A,261.9433333333333,3.0,166.56226772474682,0.96,0.9275,0.94375,Prioritize,276.2033333333333
343,East,Immunology-A,261.7577777777778,3.4444444444444446,164.0072239725349,0.9575,0.9,0.92875,Prioritize,230.95000000000002
226,South,Oncology-B,221.76333333333332,3.3333333333333335,175.76224643594344,0.8675,0.985,0.92625,Prioritize,176.87
192,West,Diabetes-A,241.50111111111113,3.111111111111111,166.7816718506673,0.91,0.9325,0.92125,Prioritize,255.81000000000003
32,West,Diabetes-A,274.37333333333333,2.4444444444444446,161.7127174789906,0.9725,0.83,0.90125,Prioritize,249.24333333333334
88,West,Diabetes-A,199.70777777777778,3.111111111111111,175.36877382727928,0.795,0.9825,0.88875,Prioritize,202.69000000000003
250,South,Oncology-B,204.16666666666666,3.3333333333333335,170.15756822374203,0.8075,0.965,0.88625,Prioritize,204.39000000000001
253,North,Oncology-A,253.0266666666667,2.7777777777777777,161.78358738366546,0.94,0.8325,0.88625,Prioritize,282.2233333333333
20,West,Diabetes-A,241.01666666666668,2.7777777777777777,163.02652935205938,0.9075,0.8625,0.885,Prioritize,246.93666666666664
42,South,Oncology-B,246.80555555555554,2.3333333333333335,161.90114390739123,0.9275,0.835,0.88125,Prioritize,271.43666666666667
340,West,Diabetes-A,197.84444444444443,3.3333333333333335,175.2690344939059,0.7825,0.98,0.88125,Prioritize,177.53666666666666
70,South,Oncology-B,292.56444444444446,2.5555555555555554,158.72588291247493,0.99,0.7625,0.87625,Prioritize,298.06333333333333
330,South,Oncology-B,214.4377777777778,2.7777777777777777,163.7814931902469,0.8575,0.8875,0.8725,Prioritize,222.93999999999997
316,West,Diabetes-A,257.8855555555556,2.5555555555555554,159.87052932343553,0.95,0.79,0.87,Prioritize,255.53
293,North,Oncology-A,231.33777777777777,2.7777777777777777,162.30887229397655,0.89,0.8475,0.86875,Prioritize,238.57000000000002
173,North,Oncology-A,238.43444444444444,2.888888888888889,161.38460870214246,0.9,0.8225,0.8612500000000001,Prioritize,253.03666666666666
212,West,Diabetes-A,198.56888888888886,2.6666666666666665,165.4060246405806,0.79,0.9225,0.85625,Prioritize,184.16333333333333
100,West,Diabetes-A,243.4022222222222,2.4444444444444446,159.9231609007146,0.915,0.7925,0.85375,Prioritize,255.77666666666664
193,North,Oncology-A,202.91666666666666,3.111111111111111,164.2732750875829,0.805,0.9025,0.85375,Prioritize,180.49666666666667
393,North,Oncology-A,260.56,2.7777777777777777,158.29501244163464,0.955,0.7475,0.8512500000000001,Prioritize,237.49666666666667
297,North,Oncology-A,299.12888888888887,2.4444444444444446,155.841275660148,0.995,0.705,0.85,Prioritize,292.93333333333334
108,West,Diabetes-A,187.32444444444445,3.111111111111111,169.41153517152523,0.735,0.9625,0.84875,Prioritize,194.72
13,North,Oncology-A,237.81555555555556,2.7777777777777777,159.2018129534277,0.8975,0.78,0.83875,Prioritize,163.00666666666666
346,South,Oncology-B,187.80555555555554,3.0,166.76023976315315,0.7375,0.93,0.83375,Prioritize,200.29333333333332
168,West,Diabetes-A,174.70555555555555,3.111111111111111,172.75970575099632,0.6875,0.9775,0.8325,Prioritize,152.77666666666667
268,West,Diabetes-A,213.63666666666666,2.4444444444444446,160.64521472309417,0.85,0.81,0.8300000000000001,Prioritize,206.59
29,North,Oncology-A,250.4188888888889,2.6666666666666665,156.50950108082324,0.9325,0.725,0.82875,Prioritize,259.6433333333333
341,North,Oncology-A,267.18888888888887,2.5555555555555554,155.48663930547875,0.965,0.685,0.825,Prioritize,229.96666666666667
256,West,Diabetes-A,243.3066666666667,2.2222222222222223,157.53030782058892,0.9125,0.7375,0.825,Prioritize,235.09333333333333
158,South,Oncology-B,169.08666666666667,3.6666666666666665,180.93710925215333,0.6525,0.995,0.82375,Prioritize,156.49666666666667
90,South,Oncology-B,217.64777777777778,2.4444444444444446,159.25202176536416,0.8625,0.7825,0.8225,Prioritize,214.28666666666666
132,West,Diabetes-A,183.33333333333334,2.6666666666666665,165.38198019527053,0.7225,0.92,0.82125,Prioritize,200.21
166,South,Oncology-B,220.86777777777777,2.5555555555555554,159.12266993734704,0.865,0.7775,0.82125,Prioritize,208.23000000000002
87,East,Immunology-A,193.3322222222222,3.2222222222222223,163.78152343734382,0.7525,0.89,0.82125,Prioritize,202.70666666666668
368,West,Diabetes-A,174.06777777777776,3.0,169.33578460889962,0.68,0.96,0.8200000000000001,Prioritize,182.40333333333334
129,North,Oncology-A,246.80222222222224,2.4444444444444446,155.77300463351847,0.925,0.7025,0.81375,Prioritize,272.22
74,South,Oncology-B,190.11333333333334,2.888888888888889,163.49333212107902,0.745,0.88,0.8125,Prioritize,173.0566666666667
366,South,Oncology-B,316.1066666666667,2.2222222222222223,153.7016694240614,1.0,0.6125,0.80625,Prioritize,307.2033333333333
134,South,Oncology-B,273.6011111111111,2.3333333333333335,154.36638900881982,0.97,0.64,0.8049999999999999,Prioritize,272.55
380,West,Diabetes-A,171.52666666666667,3.0,167.03946374443777,0.665,0.9375,0.80125,Prioritize,171.82666666666668
350,South,Oncology-B,177.45111111111112,2.888888888888889,163.90214136860618,0.6975,0.8925,0.7949999999999999,Prioritize,161.36
264,West,Diabetes-A,175.13888888888889,2.7777777777777777,163.91628118304388,0.6925,0.895,0.79375,Prioritize,153.6966666666667
